area_code,"area_name"
38300,"Pittsburgh, PA"
11020,"Altoona, PA"
14100,"Bloomsburg-Berwick, PA"
16540,"Chambersburg-Waynesboro, PA"
20700,"East Stroudsburg, PA"
21500,"Erie, PA"
23900,"Gettysburg, PA"
25420,"Harrisburg-Carlisle, PA"
27780,"Johnstown, PA"
29540,"Lancaster, PA"
30140,"Lebanon, PA"
39740,"Reading, PA"
42540,"Scranton--Wilkes-Barre--Hazleton, PA"
44300,"State College, PA"
48700,"Williamsport, PA"
49620,"York-Hanover, PA"
97961,"Philadelphia City, PA"
97962,"Delaware County, PA"
-1,NA
11260,"Anchorage, AK"
21820,"Fairbanks, AK"
-1,NA
11500,"Anniston-Oxford-Jacksonville, AL"
12220,"Auburn-Opelika, AL"
13820,"Birmingham-Hoover, AL"
19300,"Daphne-Fairhope-Foley, AL"
19460,"Decatur, AL"
20020,"Dothan, AL"
22520,"Florence-Muscle Shoals, AL"
23460,"Gadsden, AL"
26620,"Huntsville, AL"
33660,"Mobile, AL"
33860,"Montgomery, AL"
46220,"Tuscaloosa, AL"
-1,NA
26300,"Hot Springs, AR"
27860,"Jonesboro, AR"
30780,"Little Rock-North Little Rock-Conway, AR"
38220,"Pine Bluff, AR"
-1,NA
22380,"Flagstaff, AZ"
29420,"Lake Havasu City-Kingman, AZ"
38060,"Phoenix-Mesa-Scottsdale, AZ"
39140,"Prescott, AZ"
43420,"Sierra Vista-Douglas, AZ"
46060,"Tucson, AZ"
49740,"Yuma, AZ"
-1,NA
12540,"Bakersfield, CA"
17020,"Chico, CA"
20940,"El Centro, CA"
23420,"Fresno, CA"
25260,"Hanford-Corcoran, CA"
31080,"Los Angeles-Long Beach-Anaheim, CA"
31460,"Madera, CA"
32900,"Merced, CA"
33700,"Modesto, CA"
34900,"Napa, CA"
37100,"Oxnard-Thousand Oaks-Ventura, CA"
39820,"Redding, CA"
40140,"Riverside-San Bernardino-Ontario, CA"
40900,"Sacramento--Roseville--Arden-Arcade, CA"
41500,"Salinas, CA"
41740,"San Diego-Carlsbad, CA"
41860,"San Francisco-Oakland-Hayward, CA"
41940,"San Jose-Sunnyvale-Santa Clara, CA"
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
42100,"Santa Cruz-Watsonville, CA"
42200,"Santa Maria-Santa Barbara, CA"
