industry_code,industry_name
05000000,"Total private"
06000000,"Goods-producing"
07000000,"Service-providing"
08000000,"Private service-providing"
10000000,"Mining and logging"
10113300,"Logging"
10210000,"Mining"
10211000,"Oil and gas extraction"
10212000,"Mining, except oil and gas"
10212100,"Coal mining"
10212111,"Bituminous coal and lignite surface mining"
10212113,"Bituminous coal underground mining and anthracite mining"
10212200,"Metal ore mining"
10212300,"Nonmetallic mineral mining and quarrying"
10212310,"Stone mining and quarrying"
10212312,"Crushed and broken limestone mining"
10212319,"Other stone mining and quarrying"
10212320,"Sand, gravel, clay, and refractory mining"
10212321,"Construction sand and gravel mining"
10212390,"Other nonmetallic mineral mining"
10213000,"Support activities for mining"
10213112,"Support activities for oil and gas operations"
20000000,"Construction"
20236000,"Construction of buildings"
20236100,"Residential building"
20236115,"New single-family general contractors"
20236116,"New multifamily general contractors"
20236117,"New housing operative builders"
20236118,"Residential remodelers"
20236200,"Nonresidential building"
20236210,"Industrial building"
20236220,"Commercial building"
20237000,"Heavy and civil engineering construction"
20237100,"Utility system construction"
20237110,"Water and sewer system construction"
20237120,"Oil and gas pipeline construction"
20237130,"Power and communication system construction"
20237200,"Land subdivision"
20237300,"Highway, street, and bridge construction"
20237900,"Other heavy construction"
20238000,"Specialty trade contractors"
20238001,"Residential specialty trade contractors"
20238002,"Nonresidential specialty trade contractors"
20238100,"Building foundation and exterior contractors"
20238101,"Residential building foundation and exterior contractors"
20238102,"Nonresidential building foundation and exterior contractors"
20238110,"Poured concrete structure contractors"
20238120,"Steel and precast concrete contractors"
20238130,"Framing contractors"
20238140,"Masonry contractors"
20238150,"Glass and glazing contractors"
20238160,"Roofing contractors"
20238170,"Siding contractors"
20238190,"Other building exterior contractors"
20238200,"Building equipment contractors"
20238201,"Residential building equipment contractors"
20238202,"Nonresidential building equipment contractors"
20238210,"Electrical contractors"
20238220,"Plumbing and HVAC contractors"
20238290,"Other building equipment contractors"
20238300,"Building finishing contractors"
20238301,"Residential building finishing contractors"
20238302,"Nonresidential building finishing contractors"
20238310,"Drywall and insulation contractors"
20238320,"Painting and wall covering contractors"
20238330,"Flooring contractors"
20238340,"Tile and terrazzo contractors"
20238350,"Finish carpentry contractors"
20238390,"Other building finishing contractors"
20238900,"Other specialty trade contractors"
20238901,"Other residential trade contractors"
20238902,"Other nonresidential trade contractors"
20238910,"Site preparation contractors"
20238990,"All other specialty trade contractors"
30000000,"Manufacturing"
31000000,"Durable goods"
31321000,"Wood products"
31321100,"Sawmills and wood preservation"
31321200,"Plywood and engineered wood products"
31321900,"Other wood products"
31321910,"Millwork"
31321911,"Wood windows and doors"
31321918,"Cut stock, resawing lumber, planing, and other millwork, including flooring"
31321920,"Wood containers and pallets"
31321990,"All other wood products"
31327000,"Nonmetallic mineral products"
31327100,"Clay products and refractories"
31327200,"Glass and glass products"
31327212,"Flat glass and other pressed and blown glass and glassware"
31327215,"Glass containers and products made of purchased glass"
31327300,"Cement and concrete products"
31327320,"Ready-mix concrete"
31327390,"Other cement and concrete products"
31327900,"Lime, gypsum, and other nonmetallic mineral products"
31331000,"Primary metals"
31331100,"Iron and steel mills and ferroalloy production"
31331200,"Steel products from purchased steel"
31331300,"Alumina and aluminum production"
31331400,"Other nonferrous metal production"
31331500,"Foundries"
31331510,"Ferrous metal foundries"
31331520,"Nonferrous metal foundries"
31332000,"Fabricated metal products"
31332100,"Forging and stamping"
31332200,"Cutlery and hand tools"
31332300,"Architectural and structural metals"
31332310,"Plate work and fabricated structural products"
31332312,"Fabricated structural metal products"
31332313,"Prefabricated metal buildings, components, and plate work"
31332320,"Ornamental and architectural metal products"
31332321,"Metal windows and doors"
31332322,"Sheet metal work"
31332323,"Ornamental and architectural metal work"
31332400,"Boilers, tanks, and shipping containers"
